Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ,cost,rho,Internationality
AGH University of Science & Technology,29,3.0,54,33,0.3061728395,0.388888889,0.0,6.989165429212118e+16,0.0
Al Azhar University,5,1.0,74,17,0.6666666667,0.77027027,0.0,5.5109485604777256e+16,0.0
Al-Imam Muhammad Ibn Saud Islamic University,2,0.0,7,2,0.0,0.7142857140000001,0.0,4.210035226646333e+16,0.0
Alexandria University,5,2.0,46,3,0.5833333333,0.934782609,0.0,7.903620915507174e+16,0.0
Amity University,3,0.0,3,1,0.0,0.666666667,0.0,2.529214335231477e+16,0.0
Amrita Vishwa Vidyapeetham,4,0.0,10,1,0.0,0.9,0.0,8.363928724168922e+16,0.0
Ankara University,3,2.0,12,2,0.284375,0.833333333,0.0,6393850841603278.0,0.0
Aoyama Gakuin University,15,0.0,29,6,0.0,0.793103448,0.0,5.307411157242008e+16,0.0
Arizona State University,80,19.0,558,189,0.3870150286,0.661290323,0.0,2.67576143309478e+16,0.0
Auburn University,7,1.0,52,7,1.0,0.865384615,0.9999999999999007,23200281646009.984,0.9999999999999007
Australian National University,56,20.0,1901,137,0.4929128597,0.927932667,0.0,3.5331410875726708e+16,0.0
Babes Bolyai University from Cluj,7,2.0,28,5,0.3229166667,0.8214285709999999,0.0,1.971934109943906e+16,0.0
Benemerita Universidad Autonoma de Puebla,15,2.0,45,14,0.2708333333,0.688888889,0.0,9998200342852636.0,0.0
Birla Institute of Technology and Science Pilani (BITS Pilani),9,1.0,50,3,0.3333333333,0.94,0.0,1.7344590295427952e+16,0.0
Colorado State University,25,4.0,134,29,0.4088541667,0.78358209,0.0,5.803178276951333e+16,0.0
Columbia University,72,13.0,1549,505,0.3941666667,0.673983215,0.0,89302317430307.48,0.0
Cornell University,121,0.0,3530,1378,0.0,0.609631728,0.0,6.169866470661929e+16,0.0
Ecole Polytechnique Federale de Lausanne,268,0.0,5320,475,0.0,0.910714286,0.0,6.283514128875647e+16,0.0
Indian Institute of Science (IISC) - Bangalore,39,7.0,449,68,0.8571428570999999,0.848552339,0.0,3.0448845755538456e+16,0.0
Indian Institute of Technology (IIT BHU) - Varanasi,9,1.0,75,35,0.6666666667,0.533333333,0.0,3.933800138991269e+16,0.0
Indian Institute of Technology (IIT) - Bombay,11,0.0,230,20,0.0,0.913043478,0.0,6.2085525071098744e+16,0.0
Indian Institute of Technology (IIT) - Delhi,25,6.0,210,36,0.3030555556,0.828571429,0.0,4.2974973990294104e+16,0.0
Indian Institute of Technology (IIT) - Kharagpur,32,8.0,262,49,0.4633333333,0.812977099,0.0,6.589113528815397e+16,0.0
Indian Institute of Technology (IIT) - Madras,37,7.0,329,53,0.5571428571,0.838905775,0.0,4365334484529438.5,0.0
Indian Institute of Technology (IIT) - Roorkee,22,3.0,103,30,0.4133333333,0.708737864,0.0,5.525564654744923e+16,0.0
Johns Hopkins University,130,0.0,3047,1185,0.0,0.611092878,0.0,6.44559485356866e+16,0.0
Manipal University,5,2.0,39,15,0.5,0.615384615,0.0,7.885045086804754e+16,0.0
McGill University,103,0.0,1634,215,0.0,0.8684210529999999,0.0,5.456141521283055e+16,0.0
National Institute of Technology Karnataka,2,0.0,13,8,0.0,0.384615385,0.0,1.5349950421753156e+16,0.0
North Carolina State University,31,2.0,279,105,0.3333333333,0.623655914,0.0,2511554445185139.0,0.0
PES University,2,0.0,9,2,0.0,0.7777777779999999,0.0,4.5541185048250344e+16,0.0
RWTH Aachen University,59,17.0,496,99,0.3149739051,0.8004032259999999,0.0,9.443972882424557e+16,0.0
Simon Fraser University,66,15.0,593,97,0.4620833333,0.8364249579999999,0.0,1.690465992460758e+16,0.0
Sogang University,19,10.0,163,34,0.3388518519,0.791411043,0.0,3.3840516954393496e+16,0.0
State University of New York (SUNY) Binghamton,13,2.0,120,28,0.5,0.7666666670000001,0.0,3645544740308216.5,0.0
University of British Columbia,85,26.0,1642,147,0.3759775641,0.91047503,0.0,4.773157834365439e+16,0.0
University of Edinburgh,83,34.0,860,51,0.280756647,0.940697674,0.0,8536397472636749.0,0.0
University of Guelph,45,23.0,232,33,0.2982004831,0.8577586209999999,0.0,8942530709335085.0,0.0
University of Michigan,218,0.0,3916,1290,0.0,0.670582227,0.0,8.647877824426563e+16,0.0
University of Montreal,56,10.0,771,126,0.1831309524,0.836575875,0.0,5.443701232186806e+16,0.0
University of Ottawa,39,8.0,291,53,0.6775,0.817869416,0.0,7194475280130398.0,0.0
University of Pennsylvania,222,0.0,8241,3017,0.0,0.633903652,0.0,7.920963764762181e+16,0.0
University of Salford,24,7.0,416,53,0.3088253158,0.872596154,0.0,6.273912430881661e+16,0.0
University of Southern California,173,0.0,6126,1906,0.0,0.688867124,0.0,1.3824835005283156e+16,0.0
University of Southern Queensland,2,1.0,11,1,0.75,0.909090909,0.0,137821155058704.84,0.0
University of Tokyo,390,0.0,4303,1048,0.0,0.756448989,0.0,1.0988217759351148e+16,0.0
University of Toronto,200,0.0,2002,301,0.0,0.84965035,0.0,3.4672279588009748e+16,0.0
University of Waterloo,91,31.0,1272,151,0.5167769061,0.8812893079999999,0.0,1.5392188662309536e+16,0.0
Yale University,84,19.0,1581,501,0.521301468,0.683111954,0.0,9.245233534691682e+16,0.0
Yonsei University,41,5.0,250,66,0.2433333333,0.736,0.0,3.983924594475867e+16,0.0
